,coords,geometry,net,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,plz
85,"[[10.850946703018192, 49.162687699043765], [10.85111082982374, 49.162914874762954]]","LINESTRING (10.850946703018192 49.162687699043765, 10.85111082982374 49.162914874762954)",8,Line to 1367,NYY 4x16 SE,69,130,0.032571930425946,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
86,"[[10.850946703018192, 49.162687699043765], [10.850852640081518, 49.16271846362107]]","LINESTRING (10.850946703018192 49.162687699043765, 10.850852640081518 49.16271846362107)",8,Line to 1365,NYY 4x35 SE,69,71,0.007666640808699,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
87,"[[10.851045549680936, 49.16265536975653], [10.850946703018192, 49.162687699043765]]","LINESTRING (10.851045549680936 49.16265536975653, 10.850946703018192 49.162687699043765)",8,Line to 1368,NYY 4x35 SE,66,69,0.008056550794778,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
88,"[[10.851619590684512, 49.162467628630246], [10.851045549680936, 49.16265536975653]]","LINESTRING (10.851619590684512 49.162467628630246, 10.851045549680936 49.16265536975653)",8,Line to 1355,NYY 4x35 SE,44,66,0.046787226926994,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
89,"[[10.850253400890772, 49.16111906629231], [10.850253400890772, 49.161154066292305], [10.851071499999996, 49.16144869667689], [10.851417500000004, 49.161550796676934], [10.8518574, 49.16190079667702], [10.851935935340428, 49.16202491025334], [10.85202552456793, 49.16216649203006], [10.8521138, 49.162305996677155], [10.851619590684512, 49.162467628630246]]","LINESTRING (10.850253400890772 49.16111906629231, 10.850253400890772 49.161154066292305, 10.851071499999996 49.16144869667689, 10.851417500000004 49.161550796676934, 10.8518574 49.16190079667702, 10.851935935340428 49.16202491025334, 10.85202552456793 49.16216649203006, 10.8521138 49.162305996677155, 10.851619590684512 49.162467628630246)",8,Line to 1349,NYY 4x35 SE,0,44,0.238060887709134,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
90,"[[10.853022800000003, 49.15973029667648], [10.852840667626346, 49.159456107786134]]","LINESTRING (10.853022800000003 49.15973029667648, 10.852840667626346 49.159456107786134)",8,Line to 1470,NYY 4x16 SE,70,142,0.028029235220956,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
91,"[[10.850258400890771, 49.16111906629231], [10.850258400890771, 49.161159066292306], [10.850140199999997, 49.16104909667681], [10.850109900000005, 49.16087719667676], [10.850529097688012, 49.16067519908452], [10.850558871725957, 49.16066568880807], [10.850705864444544, 49.16061107249706], [10.85131686246055, 49.16036581931938], [10.851423615848546, 49.16032325688438], [10.85145735754011, 49.16030980407997], [10.851572500000003, 49.16026389667662], [10.852158000000006, 49.15993299667649], [10.853026300000005, 49.15988329667649], [10.853022800000003, 49.15973029667648]]","LINESTRING (10.850258400890771 49.16111906629231, 10.850258400890771 49.161159066292306, 10.850140199999997 49.16104909667681, 10.850109900000005 49.16087719667676, 10.850529097688012 49.16067519908452, 10.850558871725957 49.16066568880807, 10.850705864444544 49.16061107249706, 10.85131686246055 49.16036581931938, 10.851423615848546 49.16032325688438, 10.85145735754011 49.16030980407997, 10.851572500000003 49.16026389667662, 10.852158000000006 49.15993299667649, 10.853026300000005 49.15988329667649, 10.853022800000003 49.15973029667648)",8,Line to 226,NYY 4x16 SE,0,70,0.299616032149012,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
92,"[[10.851991138886135, 49.1593675162077], [10.851749331013265, 49.15935609141735]]","LINESTRING (10.851991138886135 49.1593675162077, 10.851749331013265 49.15935609141735)",8,Line to 1294,NYY 4x16 SE,65,101,0.014834889212012,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
93,"[[10.852112107152843, 49.159673034382685], [10.851700643500935, 49.159690552399574]]","LINESTRING (10.852112107152843 49.159673034382685, 10.851700643500935 49.159690552399574)",8,Line to 1296,NYY 4x16 SE,48,102,0.027622944960646,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
94,"[[10.852144678231502, 49.15975529540831], [10.852358500068764, 49.15966614006229]]","LINESTRING (10.852144678231502 49.15975529540831, 10.852358500068764 49.15966614006229)",8,Line to 1312,NYY 4x16 SE,45,110,0.019509235433986,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
95,"[[10.852082149989851, 49.15959737476664], [10.852200600019392, 49.15952449006191]]","LINESTRING (10.852082149989851 49.15959737476664, 10.852200600019392 49.15952449006191)",8,Line to 1314,NYY 4x16 SE,53,111,0.012320419434441,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
96,"[[10.852033118213182, 49.15947353990012], [10.851816350042954, 49.15945784339011]]","LINESTRING (10.852033118213182 49.15947353990012, 10.851816350042954 49.15945784339011)",8,Line to 1464,NYY 4x16 SE,60,139,0.012947433671015,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
97,"[[10.852075172675658, 49.159579752872006], [10.851778867894922, 49.15957762513979]]","LINESTRING (10.852075172675658 49.159579752872006, 10.851778867894922 49.15957762513979)",8,Line to 1853,NYY 4x16 SE,57,168,0.018942651235958,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
98,"[[10.852020335037539, 49.15944125454843], [10.852613471299748, 49.15928738649286]]","LINESTRING (10.852020335037539 49.15944125454843, 10.852613471299748 49.15928738649286)",8,Line to 2105,NYY 4x16 SE,63,178,0.048101199841382,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
99,"[[10.852026801796056, 49.15945758708194], [10.852495252398393, 49.15932499111345]]","LINESTRING (10.852026801796056 49.15945758708194, 10.852495252398393 49.15932499111345)",8,Line to 2107,NYY 4x16 SE,62,179,0.03870266152243,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
100,"[[10.852070899656352, 49.15956896093406], [10.852551428730465, 49.15943430430055]]","LINESTRING (10.852070899656352 49.15956896093406, 10.852551428730465 49.15943430430055)",8,Line to 2109,NYY 4x16 SE,58,180,0.039613025547572,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
101,"[[10.85207781892378, 49.15958643623401], [10.852378495015584, 49.159482463301536]]","LINESTRING (10.85207781892378 49.15958643623401, 10.852378495015584 49.159482463301536)",8,Line to 2111,NYY 4x16 SE,54,181,0.026056147026171,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
102,"[[10.852003957538926, 49.15939989126335], [10.852160441358938, 49.15932051793547]]","LINESTRING (10.852003957538926 49.15939989126335, 10.852160441358938 49.15932051793547)",8,Line to 2149,NYY 4x16 SE,64,183,0.015187362081186,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
103,"[[10.852003957538926, 49.15939989126335], [10.851991138886135, 49.1593675162077]]","LINESTRING (10.852003957538926 49.15939989126335, 10.851991138886135 49.1593675162077)",8,Line to 1295,NYY 4x70 SE,64,65,0.003719333447285,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
