bid,footprint_area,PV_cap_kW,use,free_walls,lat,lon,dist_to_heat_source,year_class,size_class,floors,storey_area,area_corr_factor,heated_area,window_area,dwellings,dwelling_size,occupants,ref_level_roof,ref_level_wall,ref_level_floor,ref_level_window,U,V,C,Tau,Tset,act_start,act_end,hw_demand_day,hw_tank_cap,,,,,,,,,,,
132,57.53,5.753,3,4,48.195,11.534,0,5,1,2,115.05,0.84,96.64,18.57,1,96.64,2,1,2,1,2,76.76,24.64,23090028.28,227708.87,22,0,23,0.06,0.09,6853266.09,2958631.06,190890,70915.42,30614.97,1975.27,1666225.77,26.6,8519491.86,88156.99,3418351
133,61.75,6.175,3,4,48.203,11.539,0,5,1,2,123.5,0.84,103.74,19.93,1,103.74,4,1,1,2,1,147.96,26.45,24785068.06,142104.76,22,0,23,0.04,0.06,11882177.22,3745946.31,417042,114538.05,36108.99,4020.07,1318125.69,21.01,13200302.91,127244.1,5329010
134,65.43,6.543,3,4,48.211,11.546,0,5,1,2,130.86,0.84,109.92,21.12,1,109.92,2,2,1,1,1,139.2,28.03,26262940.15,157050.2,18,0,23,0.13,0.19,9768389.16,2324871.08,188118,88868.17,21150.57,1711.41,2971292.98,47.33,12739682.14,115899.58,3195780
135,214.73,21.473,3,4,48.219,11.55,0,5,2,2,429.46,0.84,360.74,67.67,6,60.12,14,1,1,1,2,529.08,91.99,102956888.8,165774.44,21,0,23,0.13,0.19,42008094.57,12127348.22,1379628,116449.78,33617.97,3824.44,3034712.69,48.23,45042807.26,124862.25,17953425
136,281.64,28.164,3,4,48.211,11.544,0,5,2,2,563.28,0.84,473.15,88.76,8,59.14,16,1,1,2,2,635.98,120.65,135039259.7,178473.46,22,0,23,0.24,0.35,53868805.47,16237444.43,1593868,113851.43,34317.75,3368.63,4954265.2,79.04,58823070.66,124322.25,21174868
137,208.69,20.869,3,4,48.218,11.484,0,5,2,2,417.38,0.84,350.6,65.77,5,70.12,7,2,1,1,2,458.11,89.4,100062527.9,182759.22,20,0,23,0.22,0.32,35443091.07,10528587.54,666018,101092.67,30030.2,1899.65,4575871.41,72.95,40018962.48,114144.22,10396818
138,118.24,11.824,3,4,48.212,11.562,0,5,2,2,236.49,0.84,198.65,37.26,3,66.22,3,2,1,2,2,235.23,50.66,56695530.55,198315.87,21,0,23,0.13,0.2,19499774.59,6316460.3,291560,98161.46,31796.93,1467.71,3090178.99,49.08,22589953.58,113717.36,3959197
139,82.67,8.267,3,4,48.211,11.553,0,5,2,2,165.35,0.84,138.89,26.05,2,69.45,1,2,1,2,2,164.47,35.42,39640466.89,198315.87,20,0,23,0.08,0.12,12698159.48,4129570.95,192616,91426.02,29732.67,1386.82,2160672.81,34.38,14858832.29,106982.74,2602597
140,214.53,21.453,3,4,48.211,11.546,0,5,2,2,429.07,0.84,360.42,67.61,6,60.07,16,1,1,1,1,643.53,91.91,102863461.1,139866.89,18,0,23,0.19,0.28,44026953.29,8290481.29,1517248,122154.58,23002.28,4209.67,4106033.77,65.27,48132987.06,133546.94,20548287
141,276.15,27.615,3,4,48.215,11.557,0,5,2,2,552.31,0.84,463.94,87.03,7,66.28,18,1,1,1,1,828.38,118.3,132409422.4,139866.89,18,0,23,0.13,0.2,56770195.45,10480653.75,1736216,122365.38,22590.54,3742.33,3000041.42,47.74,59770236.87,128831.82,24988898
142,116.02,11.602,3,4,48.212,11.555,0,5,2,2,232.05,0.84,194.92,36.56,3,64.97,11,2,1,1,1,316.85,49.7,55630598.81,151767.14,18,0,23,0.1,0.14,21638192.63,4294431.32,1015898,111010.63,22031.76,5211.87,2479972.5,39.53,24118165.13,123733.66,12037389
143,683.32,68.332,3,4,48.221,11.561,0,5,3,6,4099.91,0.84,3443.93,579.3,19,181.26,38,2,1,2,1,4417.79,292.73,518631069.3,110100.46,20,0,23,1.98,2.97,296856042.9,89280391.52,4072690,86196.89,25923.99,1182.57,37328934.67,592.71,334184977.5,97035.94,59963010
144,475.66,47.566,3,4,48.215,11.528,0,5,3,6,2853.96,0.84,2397.32,403.25,6,399.55,6,1,1,1,1,3300.98,203.77,361020057.8,103008.68,18,0,23,1.86,2.79,205687282.3,46682071.8,607208,85798.84,19472.61,253.29,35227047.03,561.95,240914329.3,100493.19,7639495
145,677.95,67.795,3,4,48.199,11.529,0,5,3,6,4067.71,0.84,3416.87,574.75,19,179.84,19,1,1,1,1,4704.84,290.43,514557048.4,103008.68,20,0,23,3.48,5.22,316991780.4,89841461.5,2003744,92772.56,26293.5,586.43,64944747.54,1035.54,381936527.9,111779.65,28180103
